"contact_id","company_id","issue_id","specialization_id","contact_date","recontact_date","contact_status","communication_note"
3009,520,74,50,2024-12-31,,ACCEPTED,
3010,222,20,57,2020-06-30,,ACCEPTED,
3011,170,50,37,2022-12-31,,ACCEPTED,
599,181,60,61,2023-10-17,2023-10-30,NO_RESPONSE,nisi volutpat eleifend donec ut dolor morbi
610,16,14,35,2019-12-23,2019-12-30,NO_RESPONSE,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis
613,668,21,53,2020-08-02,2020-08-14,NO_RESPONSE,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis
615,313,74,38,2024-12-14,2024-12-25,NO_RESPONSE,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut
619,795,47,50,2022-09-26,2022-10-10,NO_RESPONSE,accumsan felis ut at dolor quis odio consequat
622,128,35,24,2021-09-16,2021-09-23,NO_RESPONSE,tincidunt ante vel ipsum praesent blandit
624,23,60,31,2023-10-13,2023-10-23,NO_RESPONSE,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
625,545,67,6,2024-05-21,2024-06-04,NO_RESPONSE,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices
633,484,60,31,2023-10-30,2023-11-07,NO_RESPONSE,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
3012,243,15,37,2020-01-31,,ACCEPTED,
3013,868,30,26,2021-04-30,,ACCEPTED,
3014,114,32,2,2021-06-30,,ACCEPTED,
3015,972,34,53,2021-08-31,,ACCEPTED,
3016,863,42,3,2022-04-30,,ACCEPTED,
3017,678,46,59,2022-08-31,,ACCEPTED,
3018,660,14,14,2019-12-31,,ACCEPTED,
3019,697,74,39,2024-12-31,,ACCEPTED,
3020,513,28,25,2021-02-28,,ACCEPTED,
3021,766,5,43,2019-03-31,,ACCEPTED,
3022,572,67,37,2024-05-31,,ACCEPTED,
3023,885,79,39,2025-05-31,,ACCEPTED,
3024,844,25,63,2020-11-30,,ACCEPTED,
3025,901,42,51,2022-04-30,,ACCEPTED,
3026,45,83,60,2025-09-30,,ACCEPTED,
31,995,79,37,2025-05-19,2025-05-28,REJECTED,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
21,91,95,9,2026-09-13,2026-09-24,NO_RESPONSE,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis
636,597,80,29,2025-06-19,2025-07-02,REJECTED,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis
25,149,44,28,2022-06-30,2022-07-08,NO_RESPONSE,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
28,490,48,61,2022-10-25,2022-11-04,NO_RESPONSE,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis
697,844,72,31,2024-10-11,2024-10-21,REJECTED,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
567,22,32,2,2021-06-24,2021-07-02,REJECTED,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit
635,651,39,2,2022-02-03,2022-02-13,NO_RESPONSE,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget
637,150,90,55,2026-04-22,2026-05-05,NO_RESPONSE,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis
638,954,12,31,2019-10-30,2019-11-06,NO_RESPONSE,purus eu magna vulputate luctus cum sociis natoque
642,166,43,60,2022-05-16,2022-05-27,NO_RESPONSE,at vulputate vitae nisl aenean lectus
573,765,11,42,2019-09-28,2019-10-11,REJECTED,pretium iaculis diam erat fermentum justo nec condimentum neque sapien
653,249,50,4,2022-12-21,2023-01-03,NO_RESPONSE,at nibh in hac habitasse platea dictumst
576,357,74,37,2024-12-27,2025-01-06,REJECTED,duis bibendum felis sed interdum venenatis turpis enim blandit mi in
655,669,43,60,2022-05-18,2022-05-29,NO_RESPONSE,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros
662,593,83,9,2025-09-11,2025-09-20,NO_RESPONSE,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
671,908,90,28,2026-04-30,2026-05-08,NO_RESPONSE,feugiat et eros vestibulum ac est
675,329,42,51,2022-04-11,2022-04-18,NO_RESPONSE,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam
677,580,67,38,2024-05-24,2024-06-05,NO_RESPONSE,nulla tempus vivamus in felis eu
680,847,28,49,2021-02-12,2021-02-22,NO_RESPONSE,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
688,376,88,23,2026-02-20,2026-03-04,NO_RESPONSE,felis fusce posuere felis sed lacus morbi sem mauris laoreet
693,488,40,6,2022-02-27,2022-03-12,NO_RESPONSE,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo
695,728,81,14,2025-07-26,2025-08-06,NO_RESPONSE,pellentesque ultrices mattis odio donec vitae nisi nam
698,327,6,28,2019-04-14,2019-04-24,NO_RESPONSE,consequat ut nulla sed accumsan felis ut at
699,783,72,31,2024-10-19,2024-11-02,NO_RESPONSE,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
702,272,37,30,2021-11-24,2021-12-03,NO_RESPONSE,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida
711,871,39,54,2022-01-14,2022-01-27,NO_RESPONSE,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus
714,283,15,56,2020-01-28,2020-02-05,NO_RESPONSE,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
716,439,40,37,2022-02-16,2022-03-01,NO_RESPONSE,at nunc commodo placerat praesent blandit nam
717,121,63,3,2024-01-30,2024-02-13,NO_RESPONSE,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
666,354,94,59,2026-08-17,2026-08-25,NO_RESPONSE,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate
3027,47,59,24,2023-09-30,,ACCEPTED,
3028,504,73,32,2024-11-30,,ACCEPTED,
3029,363,12,31,2019-10-31,,ACCEPTED,
3030,714,6,57,2019-04-30,,ACCEPTED,
3031,253,40,39,2022-02-28,,ACCEPTED,
3032,737,72,10,2024-10-31,,ACCEPTED,
3033,884,64,12,2024-02-29,,ACCEPTED,
3034,448,15,37,2020-01-31,,ACCEPTED,
3035,887,81,14,2025-07-31,,ACCEPTED,
3036,810,34,53,2021-08-31,,ACCEPTED,
3037,415,2,14,2018-12-31,,ACCEPTED,
3038,933,79,39,2025-05-31,,ACCEPTED,
3039,90,15,4,2020-01-31,,ACCEPTED,
3040,994,72,10,2024-10-31,,ACCEPTED,
3041,147,31,50,2021-05-31,,ACCEPTED,
3042,174,5,43,2019-03-31,,ACCEPTED,
3043,595,4,2,2019-02-28,,ACCEPTED,
3044,668,83,9,2025-09-30,,ACCEPTED,
3045,547,57,14,2023-07-31,,ACCEPTED,
3046,273,8,51,2019-06-30,,ACCEPTED,
3047,505,39,24,2022-01-31,,ACCEPTED,
3048,156,53,2,2023-03-31,,ACCEPTED,
35,759,70,34,2024-08-12,2024-08-21,NO_RESPONSE,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus
38,433,33,14,2021-07-14,2021-07-24,NO_RESPONSE,semper sapien a libero nam dui proin leo odio
578,946,7,37,2019-05-25,2019-06-03,REJECTED,at feugiat non pretium quis lectus suspendisse
720,217,25,11,2020-11-11,2020-11-19,REJECTED,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim
41,857,4,54,2019-02-16,2019-02-27,NO_RESPONSE,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices
583,554,62,50,2023-12-26,2024-01-03,REJECTED,pellentesque at nulla suspendisse potenti cras in purus
585,817,25,52,2020-11-14,2020-11-28,REJECTED,a ipsum integer a nibh in quis
731,377,23,3,2020-09-17,2020-09-27,NO_RESPONSE,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus
732,629,44,28,2022-06-24,2022-07-06,NO_RESPONSE,diam erat fermentum justo nec condimentum
588,904,74,2,2025-01-03,2025-01-13,REJECTED,vel pede morbi porttitor lorem id
741,884,50,38,2022-12-12,2022-12-20,NO_RESPONSE,lobortis est phasellus sit amet erat nulla
743,784,78,55,2025-05-02,2025-05-11,NO_RESPONSE,penatibus et magnis dis parturient montes nascetur ridiculus mus
744,761,68,7,2024-06-27,2024-07-07,NO_RESPONSE,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius
590,292,41,27,2022-03-18,2022-03-28,REJECTED,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque
592,950,46,15,2022-09-03,2022-09-15,REJECTED,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
747,574,21,34,2020-07-23,2020-08-04,NO_RESPONSE,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio
603,924,43,60,2022-05-16,2022-05-28,REJECTED,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis
608,110,49,34,2022-11-15,2022-11-25,REJECTED,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
754,763,83,60,2025-09-27,2025-10-10,NO_RESPONSE,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin
723,878,58,30,2023-08-28,2023-09-08,REJECTED,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie
762,270,24,31,2020-10-12,2020-10-25,NO_RESPONSE,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum
763,357,74,37,2024-12-26,2025-01-08,NO_RESPONSE,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius
750,626,79,39,2025-05-20,2025-05-31,REJECTED,maecenas ut massa quis augue
773,796,4,2,2019-02-09,2019-02-19,NO_RESPONSE,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas
770,712,34,37,2021-08-27,2021-09-10,REJECTED,volutpat sapien arcu sed augue aliquam erat volutpat in congue
774,992,57,35,2023-07-23,2023-08-02,REJECTED,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
786,334,66,57,2024-04-18,2024-04-26,REJECTED,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue
782,910,11,42,2019-09-27,2019-10-09,NO_RESPONSE,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor
784,514,62,39,2023-12-22,2024-01-01,NO_RESPONSE,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
796,28,49,34,2022-11-30,2022-12-08,REJECTED,consequat morbi a ipsum integer a nibh in quis justo
787,128,35,24,2021-09-25,2021-10-09,NO_RESPONSE,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci
794,119,20,28,2020-06-11,2020-06-18,NO_RESPONSE,nulla sed vel enim sit amet nunc viverra dapibus nulla
799,523,50,39,2022-12-31,2023-01-10,NO_RESPONSE,eleifend pede libero quis orci nullam molestie
805,727,42,51,2022-04-22,2022-05-03,NO_RESPONSE,in quam fringilla rhoncus mauris enim leo
806,380,59,50,2023-10-02,2023-10-09,NO_RESPONSE,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien
809,908,90,28,2026-04-13,2026-04-23,NO_RESPONSE,eu nibh quisque id justo sit
34,473,91,38,2026-05-16,,REJECTED,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
36,958,9,16,2019-07-20,,REJECTED,maecenas leo odio condimentum id luctus nec molestie
37,794,79,39,2025-05-26,,REJECTED,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
42,207,67,39,2024-05-22,,REJECTED,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat
3049,683,38,29,2021-12-31,,ACCEPTED,
3050,859,61,25,2023-11-30,,ACCEPTED,
3051,129,33,14,2021-07-31,,ACCEPTED,
3052,411,91,6,2026-06-02,,ACCEPTED,
3053,224,88,23,2026-03-01,,ACCEPTED,
3054,843,70,59,2024-08-31,,ACCEPTED,
3055,202,49,49,2022-11-30,,ACCEPTED,
3056,124,80,7,2025-06-30,,ACCEPTED,
3057,545,58,8,2023-08-31,,ACCEPTED,
3058,955,9,16,2019-07-31,,ACCEPTED,
3059,451,53,2,2023-03-31,,ACCEPTED,
3060,715,30,28,2021-04-30,,ACCEPTED,
3061,111,55,37,2023-05-31,,ACCEPTED,
822,171,59,50,2023-09-24,2023-10-01,REJECTED,mattis egestas metus aenean fermentum donec ut
850,393,57,64,2023-07-28,2023-08-07,REJECTED,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate
612,603,6,28,2019-04-20,2019-05-03,REJECTED,odio cras mi pede malesuada in imperdiet et commodo vulputate justo
872,116,61,49,2023-11-29,2023-12-09,REJECTED,vel est donec odio justo sollicitudin ut suscipit
50,577,86,37,2025-12-23,2025-12-31,NO_RESPONSE,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
51,287,52,12,2023-03-03,2023-03-11,NO_RESPONSE,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
614,288,89,4,2026-03-19,2026-03-28,REJECTED,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
53,391,6,57,2019-05-02,2019-05-15,NO_RESPONSE,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean
877,110,49,34,2022-11-24,2022-12-07,REJECTED,volutpat dui maecenas tristique est et
616,814,45,64,2022-07-31,2022-08-13,REJECTED,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis
626,11,2,35,2018-12-16,2018-12-26,REJECTED,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
20,294,24,61,2020-10-30,2020-11-10,REJECTED,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien
820,949,6,57,2019-04-14,2019-04-22,NO_RESPONSE,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
24,40,57,35,2023-07-18,2023-07-31,REJECTED,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at
824,768,92,29,2026-06-30,2026-07-09,NO_RESPONSE,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac
826,293,36,61,2021-10-20,2021-10-28,NO_RESPONSE,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum
831,569,67,39,2024-05-11,2024-05-19,NO_RESPONSE,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
30,114,50,37,2022-12-20,2022-12-30,REJECTED,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
834,671,64,26,2024-02-24,2024-03-03,NO_RESPONSE,tempor convallis nulla neque libero convallis eget eleifend luctus
634,524,91,39,2026-05-31,2026-06-10,REJECTED,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
838,422,63,3,2024-01-21,2024-01-28,NO_RESPONSE,purus sit amet nulla quisque
44,942,32,10,2021-06-16,,REJECTED,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales
856,481,64,26,2024-02-11,2024-02-19,NO_RESPONSE,ligula suspendisse ornare consequat lectus in
859,213,82,30,2025-08-30,2025-09-08,NO_RESPONSE,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl
864,320,68,7,2024-06-28,2024-07-08,NO_RESPONSE,sed tristique in tempus sit amet sem fusce consequat nulla nisl
870,680,91,37,2026-06-04,2026-06-13,NO_RESPONSE,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer
887,536,39,24,2022-01-29,2022-02-08,NO_RESPONSE,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis
56,978,59,23,2023-09-13,,REJECTED,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet
3062,530,35,23,2021-09-30,,ACCEPTED,
3063,707,66,5,2024-04-30,,ACCEPTED,
3064,294,15,56,2020-01-31,,ACCEPTED,
3065,486,40,39,2022-02-28,,ACCEPTED,
3066,988,17,6,2020-03-31,,ACCEPTED,
3067,517,16,30,2020-02-29,,ACCEPTED,
3068,742,69,35,2024-07-31,,ACCEPTED,
3069,337,25,36,2020-11-30,,ACCEPTED,
3070,33,82,59,2025-08-31,,ACCEPTED,
3071,879,68,29,2024-06-30,,ACCEPTED,
3072,166,28,8,2021-02-28,,ACCEPTED,
3073,186,45,35,2022-07-31,,ACCEPTED,
3074,926,14,14,2019-12-31,,ACCEPTED,
3075,466,67,38,2024-05-31,,ACCEPTED,
3076,526,62,4,2023-12-31,,ACCEPTED,
3077,522,6,26,2019-04-30,,ACCEPTED,
3078,628,32,10,2021-06-30,,ACCEPTED,
3079,507,17,27,2020-03-31,,ACCEPTED,
3080,603,26,26,2020-12-31,,ACCEPTED,
3081,431,47,50,2022-09-30,,ACCEPTED,
3082,227,43,7,2022-05-31,,ACCEPTED,
3083,979,36,10,2021-10-31,,ACCEPTED,
3084,79,41,8,2022-03-31,,ACCEPTED,
3085,816,53,54,2023-03-31,,ACCEPTED,
3086,274,66,5,2024-04-30,,ACCEPTED,
3087,557,77,54,2025-03-31,,ACCEPTED,
3088,32,62,37,2023-12-31,,ACCEPTED,
639,868,90,26,2026-04-28,2026-05-09,REJECTED,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
63,344,53,54,2023-03-25,2023-04-04,NO_RESPONSE,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur
640,867,29,17,2021-03-17,2021-03-30,REJECTED,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum
647,709,36,61,2021-10-21,2021-11-02,REJECTED,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium
280,623,25,36,2020-12-01,2020-12-13,NO_RESPONSE,amet erat nulla tempus vivamus in felis eu sapien
650,731,43,7,2022-05-18,2022-05-27,REJECTED,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
661,83,49,49,2022-11-29,2022-12-12,REJECTED,ut ultrices vel augue vestibulum ante ipsum primis in
901,144,11,42,2019-09-19,2019-09-29,NO_RESPONSE,sed vel enim sit amet nunc viverra dapibus
902,628,45,14,2022-07-20,2022-08-01,NO_RESPONSE,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula
906,70,51,3,2023-01-12,2023-01-24,NO_RESPONSE,egestas metus aenean fermentum donec ut mauris eget
907,486,35,24,2021-09-16,2021-09-24,NO_RESPONSE,nunc vestibulum ante ipsum primis in faucibus orci luctus
908,243,77,27,2025-04-01,2025-04-09,NO_RESPONSE,quis turpis sed ante vivamus tortor
909,25,95,23,2026-09-24,2026-10-02,NO_RESPONSE,ut erat id mauris vulputate
663,580,67,38,2024-05-17,2024-05-26,REJECTED,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit
664,557,71,55,2024-09-30,2024-10-13,REJECTED,eget eleifend luctus ultricies eu nibh quisque
670,909,46,15,2022-08-22,2022-08-31,REJECTED,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac
676,577,86,37,2025-12-15,2025-12-29,REJECTED,vel ipsum praesent blandit lacinia
919,539,35,23,2021-09-28,2021-10-08,NO_RESPONSE,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
920,422,63,3,2024-01-26,2024-02-05,NO_RESPONSE,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
922,856,79,56,2025-05-27,2025-06-03,NO_RESPONSE,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in
924,544,49,49,2022-11-12,2022-11-23,NO_RESPONSE,praesent blandit lacinia erat vestibulum sed
891,7,77,27,2025-03-18,2025-04-01,REJECTED,sem sed sagittis nam congue
928,317,87,51,2026-01-17,2026-01-24,NO_RESPONSE,eget elit sodales scelerisque mauris sit
945,749,77,27,2025-04-01,2025-04-13,REJECTED,velit eu est congue elementum in hac habitasse platea dictumst
947,490,48,61,2022-10-26,2022-11-05,REJECTED,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida
949,595,61,25,2023-12-01,2023-12-12,REJECTED,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
940,705,27,3,2021-01-30,2021-02-08,NO_RESPONSE,vulputate elementum nullam varius nulla facilisi cras non
942,587,67,39,2024-05-17,2024-05-28,NO_RESPONSE,massa donec dapibus duis at velit eu est
944,736,85,1,2025-11-27,2025-12-06,NO_RESPONSE,pede justo eu massa donec dapibus duis
957,954,12,31,2019-10-28,2019-11-05,REJECTED,hac habitasse platea dictumst maecenas ut massa
981,639,1,65,2018-11-19,2018-11-30,REJECTED,pede morbi porttitor lorem id ligula suspendisse ornare
952,812,23,55,2020-09-16,2020-09-24,NO_RESPONSE,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus
982,246,73,11,2024-11-16,2024-11-24,REJECTED,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
956,523,50,39,2022-12-15,2022-12-24,NO_RESPONSE,praesent blandit lacinia erat vestibulum sed magna at nunc commodo
961,513,10,34,2019-09-02,2019-09-14,NO_RESPONSE,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent
965,478,59,24,2023-09-22,2023-10-03,NO_RESPONSE,ac nulla sed vel enim sit amet nunc viverra dapibus
975,348,77,54,2025-03-19,2025-04-02,NO_RESPONSE,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus
59,289,12,31,2019-10-17,,REJECTED,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt
985,293,36,61,2021-10-25,2021-11-07,NO_RESPONSE,ridiculus mus vivamus vestibulum sagittis sapien
987,825,18,34,2020-04-22,2020-04-29,NO_RESPONSE,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia
989,866,61,25,2023-11-22,2023-11-30,NO_RESPONSE,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros
60,852,46,15,2022-08-26,,REJECTED,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis
3089,537,16,34,2020-02-29,,ACCEPTED,
3090,820,62,39,2023-12-31,,ACCEPTED,
3091,199,2,35,2018-12-31,,ACCEPTED,
3092,210,80,7,2025-06-30,,ACCEPTED,
3093,880,60,61,2023-10-31,,ACCEPTED,
3094,935,33,14,2021-07-31,,ACCEPTED,
3095,457,21,34,2020-07-31,,ACCEPTED,
3096,854,15,38,2020-01-31,,ACCEPTED,
3097,146,50,37,2022-12-31,,ACCEPTED,
3098,722,82,8,2025-08-31,,ACCEPTED,
67,786,45,64,2022-07-19,2022-08-02,NO_RESPONSE,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus
679,485,32,2,2021-06-28,2021-07-08,REJECTED,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum
684,798,27,51,2021-02-02,2021-02-13,REJECTED,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
70,635,36,61,2021-10-17,2021-10-28,REJECTED,erat nulla tempus vivamus in felis eu sapien cursus
1000,98,92,7,2026-06-26,2026-07-06,REJECTED,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam
1020,883,37,9,2021-11-24,2021-12-02,REJECTED,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla
997,202,52,55,2023-02-18,2023-02-26,NO_RESPONSE,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla
687,127,71,55,2024-09-25,2024-10-07,REJECTED,quam a odio in hac habitasse platea dictumst maecenas ut massa
