"content_id","issue_id","section_id","company_id","catalog_item_id","author_id","specialization_id","content_description","materials_delivered","is_approved","posted_on_fb","applied_list_price","applied_discount_pct","agency_provision_pct","final_net_price"
903,21,21,23,13,9,53,pede,true,true,false,210000.00,,,210000.00
917,79,14,142,67,26,56,viverra eget congue,true,true,false,0.00,,,0.00
918,91,7,8,69,2,37,consequat nulla nisl nunc,true,true,false,0.00,12.00,,0.00
921,72,6,574,69,5,10,a libero,true,true,false,0.00,,,0.00
922,51,7,150,66,24,51,id pretium iaculis diam,true,true,false,0.00,,,0.00
923,83,8,637,64,29,23,dictumst aliquam augue quam,true,true,false,0.00,,,0.00
938,92,13,711,73,28,55,erat,true,true,false,0.00,5.00,,0.00
940,9,9,245,67,12,16,suspendisse potenti in eleifend quam,true,true,false,0.00,,,0.00
945,94,15,16,72,6,8,sapien sapien non mi,true,true,false,0.00,,,0.00
974,43,13,490,63,12,60,amet sapien dignissim,true,true,false,0.00,,,0.00
987,39,7,831,70,31,54,magnis dis parturient montes nascetur,true,true,false,0.00,15.00,,0.00
998,59,7,511,71,21,23,fusce congue,true,true,false,0.00,,,0.00
1024,89,9,767,64,20,27,duis mattis egestas metus aenean,true,true,false,0.00,,,0.00
1032,5,14,414,72,1,4,ut rhoncus aliquet pulvinar sed,true,true,false,0.00,20.00,,0.00
1041,69,20,424,70,22,64,nisl venenatis lacinia aenean sit,true,true,false,0.00,,,0.00
1045,37,11,557,71,15,62,pellentesque quisque porta,true,true,false,0.00,13.00,,0.00
1049,7,21,183,69,17,38,nulla,true,true,false,0.00,5.00,,0.00
1059,89,11,824,64,11,54,pretium,true,true,false,0.00,,,0.00
1164,58,3,863,18,,8,et ultrices posuere cubilia curae,true,true,false,12141.00,,,12141.00
1036,83,16,986,12,,23,nibh in,true,true,false,175000.00,,,175000.00
1069,93,8,676,65,13,14,ultrices libero non,true,true,false,0.00,6.00,,0.00
1082,13,11,430,73,8,59,et tempus semper est,true,true,false,0.00,,,0.00
1091,95,2,997,64,29,60,mauris lacinia,true,true,false,0.00,,,0.00
1129,32,20,526,69,3,60,tellus semper interdum mauris,true,true,false,0.00,,,0.00
1132,82,14,129,65,30,30,mauris laoreet ut rhoncus aliquet,true,true,false,0.00,,,0.00
1033,27,21,165,14,,51,vestibulum,true,true,true,192500.00,,,192500.00
1141,74,14,968,64,1,50,amet turpis elementum ligula vehicula,true,true,false,0.00,,,0.00
1144,15,5,182,69,10,37,tempus sit amet sem fusce,true,true,false,0.00,11.00,9.00,0.00
1148,74,9,858,69,26,2,ut suscipit a,true,true,false,0.00,,,0.00
1152,53,9,969,63,15,27,justo,true,true,false,0.00,,,0.00
1157,95,8,502,72,12,60,vitae ipsum,true,true,false,0.00,,,0.00
1166,44,21,930,12,25,56,proin,true,true,false,175000.00,,,175000.00
1171,57,21,138,71,2,14,vestibulum vestibulum ante ipsum primis,true,true,false,0.00,6.00,,0.00
1174,71,6,250,73,27,24,tristique fusce,true,true,false,0.00,,,0.00
1194,28,15,564,63,19,34,volutpat quam pede lobortis,true,true,false,0.00,,,0.00
1201,77,14,828,68,16,54,convallis morbi odio odio elementum,true,true,false,0.00,,,0.00
1203,90,6,250,65,21,28,enim leo,true,true,false,0.00,,,0.00
1208,12,8,565,67,14,61,rutrum ac,true,true,false,0.00,,,0.00
1178,85,15,657,53,,25,dui luctus,true,true,true,0.00,,,0.00
1254,96,10,981,64,20,61,felis ut at dolor quis,true,true,false,0.00,9.00,,0.00
1273,70,12,483,67,14,8,non quam nec dui luctus,true,true,false,0.00,,,0.00
1297,54,12,38,68,9,26,ullamcorper,true,true,false,0.00,,,0.00
1301,96,12,112,73,31,31,dui proin leo,true,true,false,0.00,,,0.00
1303,50,10,834,69,26,37,felis eu sapien cursus vestibulum,true,true,false,0.00,,,0.00
1325,22,14,169,70,7,17,est donec odio,true,true,false,0.00,,,0.00
1232,54,9,513,40,,28,elementum nullam varius nulla facilisi,true,true,true,129500.00,23.00,,99715.00
1237,5,4,731,43,,4,quis,true,true,true,89250.00,,,89250.00
1239,61,6,478,33,,25,sapien dignissim,true,true,false,0.00,,8.00,0.00
1240,33,8,5,45,,64,lorem,true,true,true,63000.00,,,63000.00
1427,64,19,802,18,,53,sed vel enim sit,true,true,false,92010.00,23.00,5.00,66247.20
1280,35,18,191,14,,23,laoreet ut rhoncus,true,true,false,192500.00,,,192500.00
1350,12,14,595,68,13,10,lacus morbi quis tortor,true,true,false,0.00,,,0.00
1354,61,20,478,66,16,1,duis mattis,true,true,false,0.00,,,0.00
1359,40,8,638,71,2,39,dictumst etiam faucibus cursus,true,true,false,0.00,,,0.00
1371,25,20,652,68,14,52,vivamus metus,true,true,false,0.00,,,0.00
1386,52,11,616,73,11,55,massa quis augue luctus tincidunt,true,true,false,0.00,,,0.00
1389,86,9,775,63,5,50,venenatis lacinia aenean sit,true,true,false,0.00,,0.00,0.00
1353,47,21,927,13,,50,tortor risus dapibus,true,true,false,210000.00,21.00,,165900.00
1356,64,21,699,14,,26,consequat in consequat ut nulla,true,true,true,192500.00,,,192500.00
1463,49,21,146,18,,11,sem,true,true,false,90084.00,,,90084.00
1461,55,1,168,15,30,37,ultrices,true,true,false,77000.00,,,77000.00
1440,44,15,925,68,31,56,tempus,true,true,false,0.00,8.00,,0.00
1449,86,13,600,67,5,38,sed accumsan felis ut at,true,true,false,0.00,,,0.00
1458,6,6,509,71,12,5,pellentesque,true,true,false,0.00,,,0.00
1433,36,21,685,14,,10,lacus,true,true,true,192500.00,,,192500.00
1633,35,21,103,13,,23,arcu libero rutrum ac,true,true,true,210000.00,,,210000.00
1469,4,8,196,71,27,23,fringilla rhoncus,true,true,false,0.00,4.00,,0.00
1478,42,8,620,71,25,51,congue diam id ornare imperdiet,true,true,false,0.00,10.00,,0.00
1497,30,15,740,68,7,5,orci eget,true,true,false,0.00,,,0.00
1499,90,6,546,72,4,26,ipsum aliquam non,true,true,false,0.00,27.00,,0.00
1445,15,14,187,58,,37,faucibus,true,true,true,0.00,25.00,,0.00
1740,46,14,378,18,,3,elit proin interdum mauris non,true,true,false,17770.00,,,17770.00
1536,55,1,758,15,,39,magnis dis parturient,true,true,true,77000.00,,,77000.00
1554,32,20,36,63,11,2,nisl venenatis lacinia,true,true,false,0.00,,,0.00
1567,3,15,236,63,25,53,aliquam non mauris,true,true,false,0.00,13.00,,0.00
1573,10,21,922,64,21,30,habitasse platea,true,true,false,0.00,,,0.00
1590,30,21,590,13,29,28,rutrum nulla,true,true,false,210000.00,,,210000.00
1591,80,15,755,67,2,7,urna ut tellus nulla,true,true,false,0.00,,,0.00
1601,5,9,941,65,10,43,eleifend luctus ultricies eu nibh,true,true,false,0.00,27.00,,0.00
1619,23,15,227,70,12,23,pede ullamcorper augue a,true,true,false,0.00,22.00,,0.00
1627,67,21,481,67,16,38,cras in purus eu magna,true,true,false,0.00,18.00,,0.00
1535,79,19,871,35,,38,non mauris morbi non lectus,true,true,false,0.00,2.00,,0.00
1537,6,21,847,50,,26,at velit eu est congue,true,true,true,0.00,,,0.00
1539,24,15,31,19,,31,erat eros viverra eget,true,true,false,0.00,26.00,,0.00
1782,46,7,95,18,,3,potenti in eleifend,true,true,false,48778.00,,,48778.00
1801,40,4,461,18,,6,interdum,true,true,false,25504.00,3.00,,24738.88
1804,64,14,826,18,,53,tincidunt,true,true,false,1804.00,30.00,,1262.80
1643,38,18,568,14,16,51,enim blandit,true,true,false,192500.00,,,192500.00
1704,3,18,144,14,8,11,nulla ut erat,true,true,false,192500.00,12.00,,169400.00
1654,49,1,267,15,,11,consequat nulla nisl nunc,true,true,false,77000.00,,,77000.00
1634,40,13,772,73,9,38,sapien ut nunc vestibulum,true,true,false,0.00,5.00,7.00,0.00
1642,20,5,79,73,2,26,at nulla suspendisse potenti cras,true,true,false,0.00,,,0.00
1641,20,21,320,13,,57,dui luctus,true,true,false,210000.00,21.00,,165900.00
1647,72,10,381,70,25,61,aliquam augue quam sollicitudin,true,true,false,0.00,,,0.00
1680,35,6,645,72,5,12,mauris vulputate elementum nullam,true,true,false,0.00,9.00,,0.00
1682,81,15,781,68,18,35,suspendisse potenti in eleifend,true,true,false,0.00,,,0.00
1699,7,7,132,66,20,39,sagittis,true,true,false,0.00,29.00,,0.00
1676,21,21,742,14,,8,sem duis,true,true,true,192500.00,7.00,,179025.00
1771,70,13,537,33,,34,lacus,true,true,false,0.00,,,0.00
1723,35,20,540,73,12,23,sed magna at,true,true,false,0.00,,,0.00
1739,43,12,108,72,1,25,diam cras pellentesque volutpat,true,true,false,0.00,12.00,,0.00
1752,34,12,203,73,6,53,eu,true,true,false,0.00,,,0.00
1759,80,13,70,69,8,29,integer aliquet massa,true,true,false,0.00,,,0.00
1781,3,3,918,65,19,53,nisl duis bibendum,true,true,false,0.00,7.00,,0.00
1736,50,21,243,13,,38,curabitur at ipsum ac tellus,true,true,true,210000.00,22.00,,163800.00
1795,23,3,687,64,24,55,quis lectus suspendisse,true,true,false,0.00,,,0.00
1796,33,13,978,72,28,64,ante vestibulum,true,true,false,0.00,,,0.00
1806,40,2,418,65,8,39,a pede posuere,true,true,false,0.00,24.00,,0.00
26,36,8,780,1,,61,semper,true,true,false,133000.00,,,133000.00
1895,68,9,458,58,,29,mi sit amet,true,true,true,0.00,,,0.00
1816,50,14,634,69,4,39,vel augue vestibulum rutrum,true,true,false,0.00,11.00,,0.00
1850,37,20,98,64,27,62,pede,true,true,false,0.00,,,0.00
1765,57,21,327,13,,35,quam sapien varius,true,true,false,210000.00,22.00,,163800.00
1891,21,6,873,66,30,53,vestibulum velit id pretium iaculis,true,true,false,0.00,6.00,,0.00
1827,50,4,876,10,,59,in consequat ut,true,true,false,24500.00,,,24500.00
1828,23,8,124,54,,55,ultrices posuere,true,true,true,0.00,,,0.00
1832,41,6,306,39,,8,ut dolor morbi,true,true,true,133000.00,9.00,,121030.00
1834,57,11,921,40,,14,sed vel enim,true,true,true,129500.00,,,129500.00
1961,78,21,878,44,,28,pede ullamcorper augue a suscipit,true,true,true,66500.00,,,66500.00
1938,14,17,651,13,23,64,non velit nec nisi,true,true,false,210000.00,,,210000.00
27,61,9,136,57,,25,tellus nisi eu orci mauris,true,true,true,0.00,3.00,,0.00
1904,60,12,985,71,11,31,elementum,true,true,false,0.00,,,0.00
1915,35,8,876,73,6,24,luctus,true,true,false,0.00,,,0.00
1932,86,9,466,63,26,50,condimentum curabitur,true,true,false,0.00,18.00,,0.00
1800,44,21,206,12,,13,mauris sit amet eros suspendisse,true,true,false,175000.00,,,175000.00
1942,24,5,663,64,2,61,ultrices,true,true,false,0.00,18.00,,0.00
1955,59,20,541,73,11,23,enim blandit mi in,true,true,false,0.00,26.00,,0.00
28,32,13,107,39,,29,quis turpis,true,true,true,133000.00,,,133000.00
29,49,3,258,21,,30,ipsum praesent blandit lacinia erat,true,true,false,0.00,,,0.00
33,20,7,846,40,,57,et ultrices,true,true,true,129500.00,,,129500.00
1198,60,21,692,13,,31,id mauris vulputate elementum,true,true,false,210000.00,5.00,,199500.00
1205,95,21,110,14,,23,id ligula,true,true,false,192500.00,27.00,,140525.00
56,37,1,575,15,,9,tellus in sagittis dui,true,true,false,77000.00,,,77000.00
65,2,16,871,12,,64,eu,true,true,false,175000.00,2.00,,171500.00
69,85,1,727,15,,49,nulla,true,true,false,77000.00,,,77000.00
70,3,1,875,15,,27,ut,true,true,false,77000.00,,,77000.00
99,4,1,673,15,,23,et ultrices,true,true,true,77000.00,,,77000.00
124,93,18,436,14,,14,at velit vivamus vel,true,true,true,192500.00,,8.00,177100.00
275,34,1,507,15,,37,luctus nec molestie sed justo,true,true,false,77000.00,14.00,,66220.00
154,62,1,59,15,18,38,lectus,true,true,false,77000.00,,,77000.00
10,88,10,568,68,1,75,in,true,true,false,0.00,,3.00,0.00
158,74,20,319,34,,37,vel nulla,true,true,false,0.00,,,0.00
160,78,10,252,13,,55,ultrices aliquet maecenas leo,true,true,false,210000.00,,,210000.00
161,35,4,253,21,,23,tincidunt,true,true,false,0.00,,,0.00
162,54,5,767,35,,57,augue,true,true,false,0.00,,,0.00
166,77,13,885,30,,54,elit proin interdum,true,true,false,0.00,11.00,,0.00
167,29,2,742,24,,59,magna at,true,true,false,0.00,7.00,,0.00
280,93,14,167,1,,64,diam neque vestibulum,true,true,false,133000.00,21.00,,105070.00
282,59,14,123,8,,9,in hac habitasse,true,true,false,45500.00,,,45500.00
284,34,19,303,46,,16,luctus tincidunt nulla mollis molestie,true,true,true,63000.00,,,63000.00
286,27,19,390,3,,3,adipiscing lorem vitae mattis,true,true,false,98000.00,11.00,,87220.00
287,62,19,917,14,,50,magna bibendum,true,true,false,192500.00,15.00,,163625.00
293,68,10,865,26,,7,sit amet consectetuer adipiscing,true,true,false,0.00,,,0.00
295,74,7,576,46,,39,ac,true,true,true,63000.00,4.00,,60480.00
297,17,13,183,3,,49,curabitur gravida nisi,true,true,false,98000.00,5.00,3.00,90160.00
298,35,7,951,47,,12,orci,true,true,true,40250.00,16.00,,33810.00
300,92,21,210,31,,55,aenean lectus pellentesque,true,true,false,0.00,18.00,,0.00
303,75,19,590,58,,51,magnis dis,true,true,true,0.00,,,0.00
386,13,8,899,3,,59,nisl nunc nisl,true,true,false,98000.00,,,98000.00
387,96,12,827,8,,31,sociis natoque penatibus et magnis,true,true,false,45500.00,23.00,,35035.00
388,7,13,90,44,,39,aliquam augue,true,true,true,66500.00,,,66500.00
393,3,21,476,25,,11,erat curabitur,true,true,false,0.00,,,0.00
394,46,4,756,62,,59,suscipit a feugiat et,true,true,true,0.00,,,0.00
398,53,7,963,30,,54,amet,true,true,false,0.00,,,0.00
401,95,12,344,50,,60,odio curabitur,true,true,true,0.00,11.00,1.00,0.00
506,70,5,709,35,,8,tellus nisi,true,true,false,0.00,,,0.00
509,93,8,174,57,,14,orci eget orci,true,true,true,0.00,,,0.00
514,78,12,907,59,,28,sapien non mi,true,true,true,0.00,18.00,,0.00
517,68,14,150,2,,7,adipiscing,true,true,false,119000.00,,,119000.00
518,25,5,284,32,,36,lacus curabitur at ipsum,true,true,false,0.00,,,0.00
522,35,9,801,16,,55,eu sapien,true,true,false,87500.00,,,87500.00
616,78,16,84,12,,57,lacus purus aliquet at,true,true,false,175000.00,,,175000.00
565,52,17,164,13,,55,varius integer ac leo pellentesque,true,true,false,210000.00,,,210000.00
588,3,16,688,12,,53,suscipit a feugiat,true,true,false,175000.00,,,175000.00
589,91,16,49,12,,6,et ultrices posuere cubilia curae,true,true,false,175000.00,,,175000.00
600,64,16,166,12,,26,nec,true,true,true,175000.00,,,175000.00
2,67,21,736,73,11,37,eu mi nulla ac enim,true,true,false,0.00,9.00,,0.00
607,47,16,834,12,,50,ipsum primis in,true,true,true,175000.00,,,175000.00
612,26,1,917,15,,56,molestie,true,true,false,77000.00,15.00,,65450.00
641,58,1,91,15,,53,non mauris,true,true,false,77000.00,26.00,,56980.00
740,44,1,986,15,,13,aliquet ultrices erat tortor sollicitudin,true,true,false,77000.00,,,77000.00
562,57,21,940,3,,35,ante nulla,true,true,false,98000.00,23.00,,75460.00
62,43,1,190,15,8,7,integer a,true,false,false,77000.00,,,77000.00
735,26,21,450,9,,4,quisque porta volutpat,true,true,false,45500.00,,,45500.00
720,21,8,24,52,,34,nisl nunc,true,true,true,0.00,,,0.00
725,30,12,36,24,,28,ipsum,true,true,false,0.00,,,0.00
729,66,20,603,17,,28,a nibh in quis,true,true,false,35000.00,,,35000.00
715,49,16,721,12,,49,suspendisse potenti,true,true,false,175000.00,5.00,,166250.00
731,36,15,431,21,,61,lacus at turpis donec posuere,true,true,false,0.00,23.00,,0.00
719,43,18,310,14,,60,eget tincidunt eget,true,true,true,192500.00,,,192500.00
734,45,2,757,9,,14,felis sed lacus morbi sem,true,true,false,45500.00,19.00,,36855.00
732,72,17,178,13,,61,nulla sed accumsan felis ut,true,true,false,210000.00,6.00,,197400.00
733,7,17,192,13,,39,elementum pellentesque quisque porta volutpat,true,true,true,210000.00,,,210000.00
653,47,16,774,12,,50,turpis enim blandit,true,true,false,175000.00,7.00,,162750.00
671,70,18,859,14,,34,maecenas,true,true,true,192500.00,,,192500.00
703,62,18,489,14,,38,nunc viverra dapibus,true,true,false,192500.00,,,192500.00
705,91,17,303,13,,38,pede,true,true,true,210000.00,,10.00,189000.00
12,38,21,966,12,9,29,ipsum dolor,true,true,false,175000.00,22.00,,136500.00
480,60,16,47,12,29,61,curabitur gravida,true,true,false,175000.00,,,175000.00
835,43,16,839,12,29,25,vulputate nonummy maecenas tincidunt,true,true,false,175000.00,21.00,,138250.00
809,50,1,250,15,,39,placerat ante nulla justo,true,true,false,77000.00,,,77000.00
814,71,18,621,14,,23,eleifend pede libero quis,true,true,false,192500.00,,,192500.00
840,31,17,211,13,,39,placerat praesent blandit nam,true,true,true,210000.00,7.00,,195300.00
850,49,16,138,12,,30,nisi,true,true,true,175000.00,6.00,,164500.00
853,10,18,572,14,,34,orci,true,true,false,192500.00,,,192500.00
859,83,16,258,12,,60,ut dolor morbi,true,true,true,175000.00,,,175000.00
823,32,21,178,44,,29,et ultrices,true,true,true,66500.00,6.00,12.00,54530.00
819,91,15,815,27,,56,blandit mi in porttitor,true,true,false,0.00,,,0.00
863,86,1,109,15,,2,nulla tellus in,true,true,true,77000.00,,,77000.00
864,40,16,778,12,,38,eget vulputate ut,true,true,true,175000.00,,,175000.00
866,74,16,526,12,,50,ultrices posuere cubilia curae mauris,true,true,false,175000.00,,,175000.00
867,82,17,584,13,,34,at velit eu est congue,true,true,true,210000.00,,,210000.00
919,46,16,212,12,,3,posuere nonummy integer,true,true,false,175000.00,,,175000.00
950,69,18,430,14,,35,at lorem,true,true,false,192500.00,,,192500.00
952,19,18,182,14,,17,aliquam augue quam sollicitudin vitae,true,true,false,192500.00,11.00,,171325.00
978,90,17,896,13,,55,dapibus nulla suscipit ligula,true,true,true,210000.00,15.00,4.00,170100.00
992,75,16,785,12,,3,quam a odio in hac,true,true,false,175000.00,,,175000.00
1006,73,18,360,14,,11,non,true,true,false,192500.00,,,192500.00
1029,82,16,583,12,,59,maecenas tincidunt lacus at velit,true,true,true,175000.00,,,175000.00
246,55,5,293,69,19,37,dapibus,false,true,false,0.00,23.00,,0.00
925,28,13,964,43,,49,orci pede venenatis non,true,true,true,89250.00,,,89250.00
977,38,6,879,23,,4,dictumst morbi vestibulum,true,true,false,0.00,,,0.00
979,87,12,86,38,,51,donec vitae nisi nam ultrices,true,true,true,173250.00,,,173250.00
980,55,13,354,34,,39,urna pretium nisl,true,true,false,0.00,,,0.00
1043,86,21,49,56,,39,porta,true,true,true,0.00,,,0.00
1050,38,17,124,13,,29,tristique,true,true,false,210000.00,,,210000.00
283,30,20,140,66,23,5,nulla mollis,false,true,false,0.00,,,0.00
1054,78,17,309,13,,5,ut erat id,true,true,false,210000.00,17.00,,174300.00
